Source;Target;Type;Text;Sentiment;RetweetCount;FavouriteCount;UserName;UserLocation;UserLang;UserFollowers;UserFriends
muddywaters;letthegoodtimesroll;Undirected;A bit of #muddywaters 'Blow Wind Blow' at @SwanCheltenham last night #letthegoodtimesroll #Cheltenham #blues https://t.co/vo9rmpS1PQ;0.0;0;1;JC & The Comrades;Cheltenham;en-gb;266;726
muddywaters;Cheltenham;Undirected;A bit of #muddywaters 'Blow Wind Blow' at @SwanCheltenham last night #letthegoodtimesroll #Cheltenham #blues https://t.co/vo9rmpS1PQ;0.0;0;1;JC & The Comrades;Cheltenham;en-gb;266;726
muddywaters;blues;Undirected;A bit of #muddywaters 'Blow Wind Blow' at @SwanCheltenham last night #letthegoodtimesroll #Cheltenham #blues https://t.co/vo9rmpS1PQ;0.0;0;1;JC & The Comrades;Cheltenham;en-gb;266;726
letthegoodtimesroll;Cheltenham;Undirected;A bit of #muddywaters 'Blow Wind Blow' at @SwanCheltenham last night #letthegoodtimesroll #Cheltenham #blues https://t.co/vo9rmpS1PQ;0.0;0;1;JC & The Comrades;Cheltenham;en-gb;266;726
letthegoodtimesroll;blues;Undirected;A bit of #muddywaters 'Blow Wind Blow' at @SwanCheltenham last night #letthegoodtimesroll #Cheltenham #blues https://t.co/vo9rmpS1PQ;0.0;0;1;JC & The Comrades;Cheltenham;en-gb;266;726
Cheltenham;blues;Undirected;A bit of #muddywaters 'Blow Wind Blow' at @SwanCheltenham last night #letthegoodtimesroll #Cheltenham #blues https://t.co/vo9rmpS1PQ;0.0;0;1;JC & The Comrades;Cheltenham;en-gb;266;726
jazz;jazz100;Undirected;This Sunday Smooth Jazz stream: PREMIERE: John Marcus @byfrexia JazzLife USA #jazz show. Bring USA radio 2 the UK #jazz100;0.0;0;0;thejazzukradio;Barnstaple, UK;en-gb;768;823
rock;metal;Undirected;RT @raincitystudio: vocals for the Liverwrist ep are coming along nicely! #rock #metal   https://t.co/K7qfvkxxHG https://t.co/l5Kn6YlQnT;0.4926;2;0;AyyJay;Manchester;en;178;819
AllTheHellYouveGotToSpare;Metal;Undirected;RT @JohnOxley777: https://t.co/tHoHOOq8Vn. Check out this brilliant new album #AllTheHellYouveGotToSpare by @kingdomofgiants #Metal 👇🏽 http…;0.6705;2;0;Kingdom Of Giants;;en;11124;2848
NuDisco;Funk;Undirected;Check my new single Couldn't Resist on @tastyrecordings at @traxsource https://t.co/MZmBg13wj5 inc @DiscotronUK Remix Hot #NuDisco #Funk;0.0;0;7;Audio Jacker;Manchester;en;8963;8332
LDF;disco;Undirected;RT @bdrm2bsmnt: Today it's all about DISCO #LDF can't wait to see @southportwkndr and @glitterboxibiza at @LiverpoolDiscoF #disco #spw #par…;0.0;1;0;Al T;Newcastle Upon Tyne, England;en-gb;68;104
LDF;spw;Undirected;RT @bdrm2bsmnt: Today it's all about DISCO #LDF can't wait to see @southportwkndr and @glitterboxibiza at @LiverpoolDiscoF #disco #spw #par…;0.0;1;0;Al T;Newcastle Upon Tyne, England;en-gb;68;104
disco;spw;Undirected;RT @bdrm2bsmnt: Today it's all about DISCO #LDF can't wait to see @southportwkndr and @glitterboxibiza at @LiverpoolDiscoF #disco #spw #par…;0.0;1;0;Al T;Newcastle Upon Tyne, England;en-gb;68;104
