Source;Target;Type;Weight
853033149017845760;853032088823627776;Undirected;1
853033070802247680;853031425695678464;Undirected;1
853032827733934080;853031866882019328;Undirected;2
853032382277894144;853031826000039936;Undirected;3
853032382277894144;853031386080530436;Undirected;1
853032382277894144;853030758528593921;Undirected;1
853032088823627776;853031425695678464;Undirected;1
853032056388857856;853031546760155136;Undirected;3
853031826000039936;853031386080530436;Undirected;1
853031826000039936;853030758528593921;Undirected;1
853031425695678464;853031207348518912;Undirected;1
853031386080530436;853030758528593921;Undirected;1
853031290215550976;853031275896213505;Undirected;1
853031170598109184;853031056932556800;Undirected;1
853030428495794176;853030423428988930;Undirected;1
853397247102517248;853395964719181824;Undirected;1
853397247102517248;853390923262283776;Undirected;1
853397228857290752;853394780327469056;Undirected;1
853397228857290752;853392902617264128;Undirected;1
853397125782278145;853395793126076416;Undirected;2
853396970953691137;853396531830939648;Undirected;1
853396970953691137;853391842271936512;Undirected;1
853396889844289536;853396323902644224;Undirected;1
853396889844289536;853392301246136320;Undirected;1
853396531830939648;853391842271936512;Undirected;1
853396323902644224;853392301246136320;Undirected;1
853396305288327168;853395161606275072;Undirected;1
853395964719181824;853390923262283776;Undirected;3
853395673462558720;853391078996815872;Undirected;1
853395648464302081;853393251545399296;Undirected;1
853394999848947713;853393802450673664;Undirected;1
853394780327469056;853392902617264128;Undirected;1
853394333336309760;853394255880105984;Undirected;1
853393134801354753;853393036088414208;Undirected;1
853392547351326724;853390706546814976;Undirected;3
853391347360858112;853390496236015617;Undirected;2
853391046004232192;853390916920504322;Undirected;1
853390696451108865;853390600388964357;Undirected;1
853758752679505921;853758011898306560;Undirected;1
853758133080141824;853756266983940098;Undirected;1
853758133080141824;853756245349720065;Undirected;1
853758133080141824;853756238240337921;Undirected;1
853757867253526528;853757784818675715;Undirected;4
853757450708815872;853756370977300480;Undirected;1
853757387999657985;853756636887998464;Undirected;1
853756266983940098;853756245349720065;Undirected;4
853756266983940098;853756238240337921;Undirected;4
853756266983940098;853756236667420672;Undirected;2
853756245349720065;853756238240337921;Undirected;4
853756245349720065;853756236667420672;Undirected;2
853756238240337921;853756236667420672;Undirected;2
853756133454098432;853756030089519104;Undirected;1
854121576748515329;854121433655595010;Undirected;3
854121527830130689;854119049583673344;Undirected;1
854121507127255040;854121433160716290;Undirected;1
854121507127255040;854121334019850242;Undirected;1
854121507127255040;854120842791399424;Undirected;1
854121507127255040;854120831009431552;Undirected;1
854121507127255040;854120393355010049;Undirected;1
854121507127255040;854119323924914176;Undirected;1
854121507127255040;854119081766682624;Undirected;1
854121507127255040;854118593621053444;Undirected;1
854121433160716290;854120831009431552;Undirected;1
854121433160716290;854120393355010049;Undirected;1
854121433160716290;854119525826121728;Undirected;1
854121433160716290;854119323924914176;Undirected;1
854121433160716290;854119081766682624;Undirected;2
854121433160716290;854118621764780032;Undirected;1
854121255125086212;854120104375832576;Undirected;1
854121255125086212;854118447038447617;Undirected;1
854121255125086212;854118389886865408;Undirected;1
854121255125086212;854118333452615687;Undirected;1
854121225609662464;854119743183142912;Undirected;2
