id;text;sentiment;userId;retweetedCount;tags;tagsCount;userName;friendsCount;followersCount
852306642498662401;RT @SciMarchBHM: An interesting read about the power and politics right now in one science. #science #scimarchBHM #sciencemarch https://t.c…;0.4019;80646978;2;[#science, #scimarchBHM, #sciencemarch];3;Nicole Watkins;186;171
852672616598863872;RT @pionic_org: The Blue Solar System: There are 'Ocean Worlds' all around us https://t.co/uZ5dxQ9KgW #space #science;0.0;3061715160;32;[#space, #science];2;Of Hearts & Minds;747;818
852671412938522627;Awesome: Saturn moon 'able to support life' https://t.co/64C4MPBG1I #space #life #alien #science #ocean #biology #astrobiology;0.7783;3074303058;2;[#space, #life, #alien, #science, #ocean, #biology, #astrobiology];7;Stephanie Kizimchuk;1802;1208
852668503916150785;The universe ? is truly mind blowing #Space #Science https://t.co/BWIS5ARL1P;0.4404;501675406;0;[#Space, #Science];2;Richard Hull;248;37
852672569538949120;RT @FutuReCybernize: Do retailers need innovation labs to stay alive? https://t.co/SaTpyNdp3D #future #ownthefuture #science #technology #i…;0.6369;16317733;3;[#future, #ownthefuture, #science, #technology];4;Randomization;1049;8479
852672252604813313;RT @FutuReCybernize: Retailers Use Augmented Reality, High Tech To Lure Shoppers https://t.co/zM0o8Pp4Rc #future #ownthefuture #science #te…;0.0;16317733;1;[#future, #ownthefuture, #science];3;Randomization;1049;8479
852671814983614464;Retailers Use Augmented Reality, High Tech To Lure Shoppers https://t.co/zM0o8Pp4Rc #future #ownthefuture #science #technology #innovation…;0.0;821251634940542976;1;[#future, #ownthefuture, #science, #technology, #innovation];5;FutuReCybernize;2338;989
852671813519912961;Shop In The Machine: 3 Ways Retailers Can Maximize Virtual Assistants https://t.co/wBVK5xyxx9 #future #ownthefuture #science #technology #…;0.0;821251634940542976;0;[#future, #ownthefuture, #science, #technology];4;FutuReCybernize;2338;989
852671812374851584;Imagining the Retail Store of the Future https://t.co/rYy8pHUCK5 #future #ownthefuture #science #technology #innovation #tech;0.0;821251634940542976;3;[#future, #ownthefuture, #science, #technology, #innovation, #tech];6;FutuReCybernize;2338;989
852671810957185024;Do retailers need innovation labs to stay alive? https://t.co/SaTpyNdp3D #future #ownthefuture #science #technology #innovation #tech;0.6369;821251634940542976;3;[#future, #ownthefuture, #science, #technology, #innovation, #tech];6;FutuReCybernize;2338;989
852671809241665536;Farfetch Announces Store of The Future https://t.co/Xi0Qz9oXVh #future #ownthefuture #science #technology #innovation #tech;0.0;821251634940542976;0;[#future, #ownthefuture, #science, #technology, #innovation, #tech];6;FutuReCybernize;2338;989
852671807589101570;Google is trying to turn Image Search into a shopping tool https://t.co/aClzEs88Ho #future #ownthefuture #science #technology #innovation …;0.0;821251634940542976;0;[#future, #ownthefuture, #science, #technology, #innovation];5;FutuReCybernize;2338;989
852670028776341504;Life finds a way! @NASAHubble #technology #Science #education https://t.co/PoyWIq1Hcc;0.0;1322750233;0;[#technology, #Science, #education];3;Patrick Mattes;643;120
852668898168143872;#Governor's Office #Science, #Innovation #Technology: https://t.co/MlbT01RBWL, https://t.co/wAtFY8dKI1 https://t.co/wMm8UlCKz9;0.0;711596227960434693;0;[#Governor, #Science, #Innovation, #Technology];4;Science News;14;55
852667781459980288;https://t.co/AQkW4YEpKS How I Automated My Door To Door Sales Job #future #tech #science;0.0;227335394;0;[#future, #tech, #science];3;John Vajra;22552;22980
852672494486130688;Is it possible to harness the permafrost thaw and ice melt caused by #ClimateChange to harvest fresh water? #Science #Humanity #Pragmatism;0.3182;849322752435769349;1;[#ClimateChange, #Science, #Humanity, #Pragmatism];4;Empirical Indian;109;72
852670947610038273;RT @rcarr57: The Arctic Ocean Is Becoming More Like the Atlantic Ocean https://t.co/UtICkmRYpd #science #climatechange;0.4201;31251948;4;[#science, #climatechange];2;All Kinds of Nope;358;1353
852672294648332288;RT @ShenovaFashion: Dresses Inspired by Women in STEM https://t.co/Y2fh7BhswO #womeinstem #stem #steam #science #fashtech #women #tech http…;0.4939;619913312;29;[#womeinstem, #stem, #steam, #science, #fashtech, #women, #tech];7;Karen Hapgood;1199;833
852668870158458880;RT @TechGeekRebel: hahah this is brilliant! #hack #roadsign! #SanFrancisco  #tech #science #bigdata #mobile #innovation #awesome https://t.…;0.658;337246704;8;[#hack, #roadsign, #SanFrancisco, #tech, #science, #bigdata, #mobile, #innovation, #awesome];9;The #BlackWolf;250;1984
852667601000038400;RT @InnovaMap: RT @NeuroYoder Higher IQs have not made us smarter https://t.co/Bv3ONd9Dcb  via @BBC_Future #Innovation  #Science #Psycholog…;-0.357;2803245280;1;[#Innovation, #Science];2;William McCarren;525;3396
852671621534027784;Exhibition prep - biomaterials are cultivated and processed with prints #biodesign #bioart #biotech #science #art …… https://t.co/69J10A6e4G;0.0;109294181;4;[#biodesign, #bioart, #biotech, #science, #art];5;Yoko Shimizu;92;1027
852669490869522432;#Emergence is Like #Art and #Science Having Sex by @MindFullyAlive https://t.co/a72sNO3AVq https://t.co/Lkp7if5NWA;0.3612;186297813;0;[#Emergence, #Art, #Science];3;. ..   . .   . ssshh;2044;561
852667966747402240;Wonder if she'll let me tag along? https://t.co/5726UWa9Iw #RightToBearArts #artists #MarchForScience #science #art;0.0;33672522;0;[#RightToBearArts, #artists, #MarchForScience, #science, #art];5;Ariel ?;330;501
852668877234462720;Can danger give you superhuman strength? https://t.co/GmeRufg4oH (@SciShow) ht @AsapSCIENCE #biology #science ? https://t.co/w3zTjKFh7d;-0.0516;2722503240;0;[#biology, #science];2;VUBBLE;2217;2699
